,MONTH,PORTFOLIO
193,2.1995,104566.93268119553
194,3.1995,105521.92030462879
195,4.1995,107279.16379708437
196,5.1995,110030.27277794121
197,6.1995,109264.27961647371
198,7.1995,113549.76892474212
199,8.1995,114554.61236617563
200,9.1995,119550.72646334316
201,10.1995,116039.76541420165
202,11.1995,120478.80373292889
203,12.1995,126108.32518052954
204,1.1996,130102.37162253221
205,2.1996,131814.5269613625
206,3.1996,134086.2836267556
207,4.1996,138559.97281132717
208,5.1996,140527.24254043447
209,6.1996,140320.38643843314
210,7.1996,133520.52712488553
211,8.1996,134005.273111191
212,9.1996,140595.55036711445
213,10.1996,142185.02406423996
214,11.1996,148366.80738320682
215,12.1996,149392.465679761
216,1.1997,155447.2261269618
217,2.1997,164212.35732487307
218,3.1997,163012.50454402622
219,4.1997,169396.93911091375
220,5.1997,179425.17725223774
221,6.1997,190610.15725580152
222,7.1997,205043.5369689083
223,8.1997,196990.61925211406
224,9.1997,202393.70604348215
225,10.1997,188495.31731971458
226,11.1997,188058.78542523304
227,12.1997,195622.98869827995
228,1.1998,205823.99762921667
229,2.1998,219374.2438944018
230,3.1998,229608.57119913807
231,4.1998,230449.6099032657
232,5.1998,224291.72414000833
233,6.1998,231423.17027523398
234,7.1998,231767.87212091463
235,8.1998,200341.7677685529
236,9.1998,194573.53494302556
237,10.1998,204449.54828693916
238,11.1998,222959.73291479237
239,12.1998,232489.8083762853
240,1.1999,245458.99314606274
241,2.1999,247028.58512444186
242,3.1999,264024.3958345586
243,4.1999,278300.72187736345
244,5.1999,271936.8352473197
245,6.1999,288253.10899230046
246,7.1999,277756.9097603333
247,8.1999,280592.57528603077
248,9.1999,275660.22054646054
249,10.1999,295960.5592455525
250,11.1999,315113.06984737975
251,12.1999,342422.9447610948
252,1.2,331419.972335364
253,2.2,335101.5384428868
254,3.2,364371.11885556945
255,4.2,367094.9084396195
256,5.2,349631.6936719838
257,6.2,351992.9099603778
258,7.2,353825.41931714065
259,8.2,379240.501981598
260,9.2,365054.78345019097
261,10.2,373911.4090613267
262,11.2,340673.7522474215
263,12.2,323303.5570506774
264,1.2001,330137.3438248427
265,2.2001,303969.01136267243
266,3.2001,297557.6373919909
267,4.2001,318033.29147581896
268,5.2001,328712.8926972364
269,6.2001,318609.046312057
270,7.2001,304733.1533383078
271,8.2001,277608.45457205456
272,9.2001,254164.52955159842
273,10.2001,261735.26355134192
274,11.2001,281775.7587838047
275,12.2001,286435.868060868
276,1.2002,283603.2349276572
277,2.2002,280868.45594768185
278,3.2002,290945.3718825722
279,4.2002,272476.35071728774
280,5.2002,262160.79486086615
281,6.2002,232041.58360748214
282,7.2002,216916.55785401727
283,8.2002,216388.1126761455
284,9.2002,192378.96229201136
285,10.2002,206580.40758061202
286,11.2002,216448.07417909053
287,12.2002,195261.91063330407
288,1.2003,183830.21263494098
289,2.2003,181402.0431785903
290,3.2003,179146.70769048922
291,4.2003,191005.26060504632
292,5.2003,190287.53180568927
293,6.2003,200381.80727070908
294,7.2003,206559.01614797118
295,8.2003,218672.71954716035
296,9.2003,206575.03452067674
297,10.2003,219498.63230972082
298,11.2003,216127.79896640868
299,12.2003,218294.2764058394
300,1.2004,226356.664846831
301,2.2004,229699.77208638896
302,3.2004,231985.95447302764
303,4.2004,232701.30815491657
304,5.2004,230205.9368753968
305,6.2004,235932.1383406563
306,7.2004,230660.03859264642
307,8.2004,230500.0189027536
308,9.2004,229429.34234725247
309,10.2004,229195.12859294206
310,11.2004,231301.03027716046
311,12.2004,234567.60568953308
312,1.2005,239767.8427627189
313,2.2005,243404.03395339553
314,3.2005,244272.70711212832
