MONTH,UNRATE
02.2024,390000.0
03.2024,390000.0
04.2024,390000.0
05.2024,390000.0
06.2024,409999.99999999994
07.2024,420000.0
08.2024,420000.0
09.2024,409999.99999999994
10.2024,409999.99999999994
11.2024,420000.0
12.2024,409999.99999999994
01.2025,400000.0
02.2025,420000.0
03.2025,420000.0
04.2025,420000.0
05.2025,430000.0
06.2025,409999.99999999994
07.2025,430000.0
08.2025,430000.0
09.2025,440000.00000000006
10.2025,
11.2025,450000.0
