,MONTH,MSCI World,STRAT1-0.0,STRAT1-0.01,STRAT1-0.02,STRAT1-0.03,STRAT1-0.04,STRAT1-0.05,STRAT1-0.06,STRAT1-0.07,STRAT1-0.08,STRAT1-0.09
56,9.1983,27981.25780028119,21649.180255708343,21649.180255708343,21649.180255708343,21649.180255708343,21649.180255708343,21649.180255708343,21649.180255708343,21649.180255708343,21649.180255708343,21649.180255708343
57,10.1983,27194.328512790005,21240.330785288123,21240.330785288123,21240.330785288123,21240.330785288123,21240.330785288123,21240.330785288123,21240.330785288123,21240.330785288123,21240.330785288123,21240.330785288123
58,11.1983,28639.75622804067,22569.292759241922,22569.292759241922,22569.292759241922,22569.292759241922,22569.292759241922,22569.292759241922,22569.292759241922,22569.292759241922,22569.292759241922,22569.292759241922
59,12.1983,29738.385513379875,23635.05732012951,23635.05732012951,23635.05732012951,23635.05732012951,23635.05732012951,23635.05732012951,23635.05732012951,23635.05732012951,23635.05732012951,23635.05732012951
60,1.1984,30654.85931613871,24563.43952671757,24563.43952671757,24563.43952671757,24563.43952671757,24563.43952671757,24563.43952671757,24563.43952671757,24563.43952671757,24563.43952671757,24563.43952671757
61,2.1984,29221.45524202876,23614.866834582794,23614.866834582794,23614.866834582794,23614.866834582794,23614.866834582794,23614.866834582794,23614.866834582794,23614.866834582794,23614.866834582794,23614.866834582794
62,3.1984,29503.60589201104,24042.882515918176,24042.882515918176,24042.882515918176,24042.882515918176,24042.882515918176,24042.882515918176,24042.882515918176,24042.882515918176,24042.882515918176,24042.882515918176
63,4.1984,29913.11483894515,24576.596826514364,24576.596826514364,24576.596826514364,24576.596826514364,24576.596826514364,24576.596826514364,24576.596826514364,24576.596826514364,24576.596826514364,24576.596826514364
64,5.1984,28694.77473063892,23775.609339900955,23775.609339900955,23775.609339900955,23775.609339900955,23775.609339900955,23775.609339900955,23775.609339900955,23775.609339900955,23775.609339900955,23775.609339900955
65,6.1984,28934.331593727657,24174.098801656804,24174.098801656804,24174.098801656804,24174.098801656804,24174.098801656804,24174.098801656804,24174.098801656804,24174.098801656804,24174.098801656804,24174.098801656804
66,7.1984,28967.16865512922,24401.533559017833,24401.533559017833,24401.533559017833,24401.533559017833,24401.533559017833,24401.533559017833,24401.533559017833,24401.533559017833,24401.533559017833,24401.533559017833
67,8.1984,32229.765663017726,27349.89917684447,27349.89917684447,27349.89917684447,27349.89917684447,27349.89917684447,27349.89917684447,27349.89917684447,27349.89917684447,27349.89917684447,27349.89917684447
68,9.1984,33621.36624044726,28730.799338672477,28730.799338672477,28730.799338672477,28730.799338672477,28730.799338672477,28730.799338672477,28730.799338672477,28730.799338672477,28730.799338672477,28730.799338672477
69,10.1984,34594.62624265953,29762.48885503356,29762.48885503356,29762.48885503356,29762.48885503356,29762.48885503356,29762.48885503356,29762.48885503356,29762.48885503356,29762.48885503356,29762.48885503356
70,11.1984,33559.79206469479,29072.19911834307,29072.19911834307,29072.19911834307,29072.19911834307,29072.19911834307,29072.19911834307,29072.19911834307,29072.19911834307,29072.19911834307,29072.19911834307
71,12.1984,35609.46600893423,31047.792033809797,31047.792033809797,31047.792033809797,31047.792033809797,31047.792033809797,31047.792033809797,31047.792033809797,31047.792033809797,31047.792033809797,31047.792033809797
72,1.1985,38486.3587230083,33756.14660075962,33756.14660075962,33756.14660075962,33756.14660075962,33756.14660075962,33756.14660075962,33756.14660075962,33756.14660075962,33756.14660075962,33756.14660075962
73,2.1985,39993.18254185248,35277.772429186254,35277.772429186254,35277.772429186254,35277.772429186254,35277.772429186254,35277.772429186254,35277.772429186254,35277.772429186254,35277.772429186254,35277.772429186254
74,3.1985,41469.22422550362,36779.78090418935,36779.78090418935,36779.78090418935,36779.78090418935,36779.78090418935,36779.78090418935,36779.78090418935,36779.78090418935,36779.78090418935,36779.78090418935
75,4.1985,38489.0908205484,34336.648418674966,34336.648418674966,34336.648418674966,34336.648418674966,34336.648418674966,34336.648418674966,34336.648418674966,34336.648418674966,34336.648418674966,34336.648418674966
76,5.1985,40743.73145553946,36548.044405010274,36548.044405010274,36548.044405010274,36548.044405010274,36548.044405010274,36548.044405010274,36548.044405010274,36548.044405010274,36548.044405010274,36548.044405010274
77,6.1985,40742.04246084016,36746.529338739594,36746.529338739594,36746.529338739594,36746.529338739594,36746.529338739594,36746.529338739594,36746.529338739594,36746.529338739594,36746.529338739594,36746.529338739594
78,7.1985,39548.87472097862,35870.373831783814,35870.373831783814,35870.373831783814,35870.373831783814,35870.373831783814,35870.373831783814,35870.373831783814,35870.373831783814,35870.373831783814,35870.373831783814
79,8.1985,38498.9529361696,35118.10686639134,35118.10686639134,35118.10686639134,35118.10686639134,35118.10686639134,35118.10686639134,35118.10686639134,35118.10686639134,35118.10686639134,35118.10686639134
80,9.1985,39409.12599100308,36148.35164368559,36148.35164368559,36148.35164368559,36148.35164368559,36148.35164368559,36148.35164368559,36148.35164368559,36148.35164368559,36148.35164368559,36148.35164368559
81,10.1985,38972.698766852656,35948.03510865082,35948.03510865082,35948.03510865082,35948.03510865082,35948.03510865082,35948.03510865082,35948.03510865082,35948.03510865082,35948.03510865082,35948.03510865082
82,11.1985,40349.80151346892,37418.26117587113,37418.26117587113,37418.26117587113,37418.26117587113,37418.26117587113,37418.26117587113,37418.26117587113,37418.26117587113,37418.26117587113,37418.26117587113
83,12.1985,41237.076489579886,38441.07282662615,38441.07282662615,38441.07282662615,38441.07282662615,38441.07282662615,38441.07282662615,38441.07282662615,38441.07282662615,38441.07282662615,38441.07282662615
84,1.1986,40978.07138919158,38399.62908778568,38399.62908778568,38399.62908778568,38399.62908778568,38399.62908778568,38399.62908778568,38399.62908778568,38399.62908778568,38399.62908778568,38399.62908778568
85,2.1986,42907.85004137818,40407.98126135913,40407.98126135913,40407.98126135913,40407.98126135913,40407.98126135913,40407.98126135913,40407.98126135913,40407.98126135913,40407.98126135913,40407.98126135913
86,3.1986,45797.31497619826,43329.10210122803,43329.10210122803,43329.10210122803,43329.10210122803,43329.10210122803,43329.10210122803,43329.10210122803,43329.10210122803,43329.10210122803,43329.10210122803
87,4.1986,47298.08927667742,44948.99326581173,44948.99326581173,44948.99326581173,44948.99326581173,44948.99326581173,44948.99326581173,44948.99326581173,44948.99326581173,44948.99326581173,44948.99326581173
88,5.1986,46334.346426348624,44233.11544597,44233.11544597,44233.11544597,44233.11544597,44233.11544597,44233.11544597,44233.11544597,44233.11544597,44233.11544597,44233.11544597
89,6.1986,48381.8912958277,46387.80555337093,46387.80555337093,46387.80555337093,46387.80555337093,46387.80555337093,46387.80555337093,46387.80555337093,46387.80555337093,46387.80555337093,46387.80555337093
90,7.1986,47335.68457116948,45584.71880309625,45584.71880309625,45584.71880309625,45584.71880309625,45584.71880309625,45584.71880309625,45584.71880309625,45584.71880309625,45584.71880309625,45584.71880309625
91,8.1986,49922.31551687075,48275.66924303126,48275.66924303126,48275.66924303126,48275.66924303126,48275.66924303126,48275.66924303126,48275.66924303126,48275.66924303126,48275.66924303126,48275.66924303126
92,9.1986,47558.040732892434,46189.37810670757,46189.37810670757,46189.37810670757,46189.37810670757,46189.37810670757,46189.37810670757,46189.37810670757,46189.37810670757,46189.37810670757,46189.37810670757
93,10.1986,46216.703726404754,45086.643149455034,45086.643149455034,45086.643149455034,45086.643149455034,45086.643149455034,45086.643149455034,45086.643149455034,45086.643149455034,45086.643149455034,45086.643149455034
94,11.1986,48660.15998817887,47670.353618684574,47670.353618684574,47670.353618684574,47670.353618684574,47670.353618684574,47670.353618684574,47670.353618684574,47670.353618684574,47670.353618684574,47670.353618684574
95,12.1986,48918.98842075373,48123.917168627915,48123.917168627915,48123.917168627915,48123.917168627915,48123.917168627915,48123.917168627915,48123.917168627915,48123.917168627915,48123.917168627915,48123.917168627915
96,1.1987,51380.59265631077,50745.513406779755,50745.513406779755,50745.513406779755,50745.513406779755,50745.513406779755,50745.513406779755,50745.513406779755,50745.513406779755,50745.513406779755,50745.513406779755
97,2.1987,52132.908088075965,51688.529998358106,51688.529998358106,51688.529998358106,51688.529998358106,51688.529998358106,51688.529998358106,51688.529998358106,51688.529998358106,51688.529998358106,51688.529998358106
98,3.1987,55265.51344098956,54994.43319262336,54994.43319262336,54994.43319262336,54994.43319262336,54994.43319262336,54994.43319262336,54994.43319262336,54994.43319262336,54994.43319262336,54994.43319262336
99,4.1987,57738.690406181646,57655.47909480281,57655.47909480281,57655.47909480281,57655.47909480281,57655.47909480281,57655.47909480281,57655.47909480281,57655.47909480281,57655.47909480281,57655.47909480281
100,5.1987,57113.9937546486,57231.682737807496,57231.682737807496,57231.682737807496,57231.682737807496,57231.682737807496,57231.682737807496,57231.682737807496,57231.682737807496,57231.682737807496,57231.682737807496
101,6.1987,58098.78560738437,58418.50385069743,58418.50385069743,58418.50385069743,58418.50385069743,58418.50385069743,58418.50385069743,58418.50385069743,58418.50385069743,58418.50385069743,58418.50385069743
102,7.1987,60110.697558145344,60641.4873746053,60641.4873746053,60641.4873746053,60641.4873746053,60641.4873746053,60641.4873746053,60641.4873746053,60641.4873746053,60641.4873746053,60641.4873746053
103,8.1987,64152.31021935193,64918.78830644905,64918.78830644905,64918.78830644905,64918.78830644905,64918.78830644905,64918.78830644905,64918.78830644905,64918.78830644905,64918.78830644905,64918.78830644905
104,9.1987,61386.36991470059,62319.801138380244,62319.801138380244,62319.801138380244,62319.801138380244,62319.801138380244,62319.801138380244,62319.801138380244,62319.801138380244,62319.801138380244,62319.801138380244
105,10.1987,50587.01719849433,51556.2352094552,51556.2352094552,51556.2352094552,51556.2352094552,51556.2352094552,51556.2352094552,51556.2352094552,51556.2352094552,51556.2352094552,51556.2352094552
106,11.1987,46366.267919942205,47454.61881425788,47454.61881425788,47454.61881425788,47454.61881425788,47454.61881425788,47454.61881425788,47454.61881425788,47454.61881425788,47454.61881425788,47454.61881425788
107,12.1987,46897.08825092531,48197.89903920839,48197.89903920839,48197.89903920839,48197.89903920839,48197.89903920839,48197.89903920839,48197.89903920839,48197.89903920839,48197.89903920839,48197.89903920839
108,1.1988,48537.91486111503,50084.23817556639,50084.23817556639,50084.23817556639,50084.23817556639,50084.23817556639,50084.23817556639,50084.23817556639,50084.23817556639,50084.23817556639,50084.23817556639
109,2.1988,52830.337489364014,54713.409018165585,54713.409018165585,54713.409018165585,54713.409018165585,54713.409018165585,54713.409018165585,54713.409018165585,54713.409018165585,54713.409018165585,54713.409018165585
110,3.1988,53678.8922827356,55792.20948945562,55792.20948945562,55792.20948945562,55792.20948945562,55792.20948945562,55792.20948945562,55792.20948945562,55792.20948945562,55792.20948945562,55792.20948945562
111,4.1988,54021.87490901184,56348.69520893836,56348.69520893836,56348.69520893836,56348.69520893836,56348.69520893836,56348.69520893836,56348.69520893836,56348.69520893836,56348.69520893836,56348.69520893836
112,5.1988,53453.569837154544,55955.91220513264,55955.91220513264,55955.91220513264,55955.91220513264,55955.91220513264,55955.91220513264,55955.91220513264,55955.91220513264,55955.91220513264,55955.91220513264
113,6.1988,55352.12630107665,58143.34651747804,58143.34651747804,58143.34651747804,58143.34651747804,58143.34651747804,58143.34651747804,58143.34651747804,58143.34651747804,58143.34651747804,58143.34651747804
114,7.1988,59223.21124341946,62409.63715962906,62409.63715962906,62409.63715962906,62409.63715962906,62409.63715962906,62409.63715962906,62409.63715962906,62409.63715962906,62409.63715962906,62409.63715962906
115,8.1988,57212.20877076618,60490.43538028695,60490.43538028695,60490.43538028695,60490.43538028695,60490.43538028695,60490.43538028695,60490.43538028695,60490.43538028695,60490.43538028695,60490.43538028695
116,9.1988,59193.67146169965,62785.434742129546,62785.434742129546,62785.434742129546,62785.434742129546,62785.434742129546,62785.434742129546,62785.434742129546,62785.434742129546,62785.434742129546,62785.434742129546
117,10.1988,61559.61652450748,65494.941006502755,65494.941006502755,65494.941006502755,65494.941006502755,65494.941006502755,65494.941006502755,65494.941006502755,65494.941006502755,65494.941006502755,65494.941006502755
118,11.1988,61167.29304238174,65277.53744280346,65277.53744280346,65277.53744280346,65277.53744280346,65277.53744280346,65277.53744280346,65277.53744280346,65277.53744280346,65277.53744280346,65277.53744280346
119,12.1988,61772.09104022392,66122.97591140008,66122.97591140008,66122.97591140008,66122.97591140008,66122.97591140008,66122.97591140008,66122.97591140008,66122.97591140008,66122.97591140008,66122.97591140008
120,1.1989,66530.23651002873,71416.25886466727,71416.25886466727,71416.25886466727,71416.25886466727,71416.25886466727,71416.25886466727,71416.25886466727,71416.25886466727,71416.25886466727,71416.25886466727
121,2.1989,66917.44002020075,72031.89884381548,72031.89884381548,72031.89884381548,72031.89884381548,72031.89884381548,72031.89884381548,72031.89884381548,72031.89884381548,72031.89884381548,72031.89884381548
122,3.1989,66917.03851528569,72231.46665212646,72231.46665212646,72231.46665212646,72231.46665212646,72231.46665212646,72231.46665212646,72231.46665212646,72231.46665212646,72231.46665212646,72231.46665212646
123,4.1989,68825.34672955025,74491.3291953432,74491.3291953432,74491.3291953432,74491.3291953432,74491.3291953432,74491.3291953432,74491.3291953432,74491.3291953432,74491.3291953432,74491.3291953432
124,5.1989,70004.83492356459,75967.91765464435,75967.91765464435,75967.91765464435,75967.91765464435,75967.91765464435,75967.91765464435,75967.91765464435,75967.91765464435,75967.91765464435,75967.91765464435
125,6.1989,70445.63352546077,76646.26392783667,76646.26392783667,76646.26392783667,76646.26392783667,76646.26392783667,76646.26392783667,76646.26392783667,76646.26392783667,76646.26392783667,76646.26392783667
126,7.1989,74970.4207865175,81769.32333226268,81769.32333226268,81769.32333226268,81769.32333226268,81769.32333226268,81769.32333226268,81769.32333226268,81769.32333226268,81769.32333226268,81769.32333226268
127,8.1989,74270.95275118499,81206.4220794532,81206.4220794532,81206.4220794532,81206.4220794532,81206.4220794532,81206.4220794532,81206.4220794532,81206.4220794532,81206.4220794532,81206.4220794532
128,9.1989,77521.37812350164,84960.3742632415,84960.3742632415,84960.3742632415,84960.3742632415,84960.3742632415,84960.3742632415,84960.3742632415,84960.3742632415,84960.3742632415,84960.3742632415
129,10.1989,72097.89512547171,79216.45070980742,79216.45070980742,79216.45070980742,79216.45070980742,79216.45070980742,79216.45070980742,79216.45070980742,79216.45070980742,79216.45070980742,79216.45070980742
130,11.1989,73885.3454107418,81380.38415298093,81380.38415298093,81380.38415298093,81380.38415298093,81380.38415298093,81380.38415298093,81380.38415298093,81380.38415298093,81380.38415298093,81380.38415298093
131,12.1989,73105.46300158801,80721.38931850783,80721.38931850783,80721.38931850783,80721.38931850783,80721.38931850783,80721.38931850783,80721.38931850783,80721.38931850783,80721.38931850783,80721.38931850783
132,1.199,67633.18425111714,74879.02360000386,74879.02360000386,74879.02360000386,74879.02360000386,74879.02360000386,74879.02360000386,74879.02360000386,74879.02360000386,74879.02360000386,74879.02360000386
133,2.199,63859.5785151099,70901.13494826663,70901.13494826663,70901.13494826663,70901.13494826663,70901.13494826663,70901.13494826663,70901.13494826663,70901.13494826663,70901.13494826663,70901.13494826663
134,3.199,61036.85056307657,67967.1553620718,67967.1553620718,67967.1553620718,67967.1553620718,67967.1553620718,67967.1553620718,67967.1553620718,67967.1553620718,67967.1553620718,67967.1553620718
135,4.199,59369.44607056526,66310.42882476764,66310.42882476764,66310.42882476764,66310.42882476764,66310.42882476764,66310.42882476764,66310.42882476764,66310.42882476764,66310.42882476764,66310.42882476764
136,5.199,64532.83963037877,72277.48349351634,72277.48349351634,72277.48349351634,72277.48349351634,72277.48349351634,72277.48349351634,72277.48349351634,72277.48349351634,72277.48349351634,72277.48349351634
137,6.199,64488.22911444809,72427.51922962705,72427.51922962705,72427.51922962705,72427.51922962705,72427.51922962705,72427.51922962705,72427.51922962705,72427.51922962705,72427.51922962705,72427.51922962705
138,7.199,63093.46313607065,71061.04049223638,71061.04049223638,71061.04049223638,71061.04049223638,71061.04049223638,71061.04049223638,71061.04049223638,71061.04049223638,71061.04049223638,71061.04049223638
