,MONTH,MSCI World
114,7.1988,62409.63715962906
115,8.1988,60490.43538028695
116,9.1988,62785.434742129546
117,10.1988,65494.941006502755
118,11.1988,65277.53744280346
119,12.1988,66122.97591140008
120,1.1989,71416.25886466727
121,2.1989,72031.89884381548
122,3.1989,72231.46665212646
123,4.1989,74491.3291953432
124,5.1989,75967.91765464435
125,6.1989,76646.26392783667
126,7.1989,81769.32333226268
127,8.1989,81206.4220794532
128,9.1989,84960.3742632415
129,10.1989,79216.45070980742
130,11.1989,81380.38415298093
131,12.1989,80721.38931850783
132,1.199,74879.02360000386
133,2.199,70901.13494826663
134,3.199,67967.1553620718
135,4.199,66310.42882476764
136,5.199,72277.48349351634
137,6.199,72427.51922962705
138,7.199,71061.04049223638
139,8.199,61755.684565058466
140,9.199,55514.97779542777
141,10.199,59098.287198081176
142,11.199,57157.96257996552
143,12.199,59224.18677395417
144,1.1991,61721.83221358746
145,2.1991,66493.45646875318
146,3.1991,70419.68515991785
147,4.1991,74930.59128625451
148,5.1991,77830.401883476
149,6.1991,75925.14615219839
150,7.1991,79790.0138443987
151,8.1991,77962.46438499745
152,9.1991,77976.08441822192
153,10.1991,79312.24438684707
154,11.1991,73195.79866444776
155,12.1991,76207.857038545
156,1.1992,75501.4140508474
157,2.1992,76013.83640382503
158,3.1992,74545.47876670226
159,4.1992,75078.87279904503
160,5.1992,76749.68677016259
161,6.1992,72232.71770576795
162,7.1992,69149.7395930188
163,8.1992,69223.06200318743
164,9.1992,70350.24727427836
165,10.1992,71468.30389055292
166,11.1992,77688.79190452771
167,12.1992,78441.59408933544
168,1.1993,80417.07286017349
169,2.1993,84548.49345887847
170,3.1993,90065.73170574171
171,4.1993,91209.44441058546
172,5.1993,93717.32633568278
173,6.1993,95818.30544963355
174,7.1993,102114.01983605349
175,8.1993,107785.39660721032
176,9.1993,101763.0838821236
177,10.1993,105970.09650633535
178,11.1993,102835.06852687287
179,12.1993,107994.09977016695
180,1.1994,116852.31045546025
181,2.1994,115070.75586957863
182,3.1994,108008.1158980544
183,4.1994,111844.40641445652
184,5.1994,109897.36835122565
185,6.1994,107987.88858193408
186,7.1994,106825.47648318644
187,8.1994,110344.60246467932
188,9.1994,106469.81450594636
189,10.1994,107581.72099010843
190,11.1994,104621.97383217418
191,12.1994,107970.49984953484
192,1.1995,104350.88202689767
193,2.1995,104888.23131320279
194,3.1995,105847.1829366203
195,4.1995,107616.30843070519
196,5.1995,110389.11724083287
197,6.1995,109609.82751786814
198,7.1995,113932.25796256971
199,8.1995,114941.46632960324
200,9.1995,119981.7007388484
201,10.1995,116430.14753465037
202,11.1995,120907.69850696868
203,12.1995,126587.52708498797
204,1.1996,130615.70862250394
